title,company,location,work_mode,job_type,skills,salary_avg,date_posted,experience_level,education,source,job_url,salary_min,salary_max
Data Scientist,"Comscore, Inc.","Pune, Maharashtra, India",onsite,fulltime,"['Linux', 'Python', 'R', 'SQL', 'Spark']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-comscore-inc-india-2/,,
"Senior Data Scientist, Agentic AI (Insurance Underwriting)",Guardian Life,"New York, New York, United States",onsite,fulltime,"['Git', 'PyTorch', 'Python', 'TensorFlow']",157222.5,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-guardian-life-united-states-2/,118980.0,195465.0
Financial Crimes - Senior Data Scientist,KeyBank,"Cleveland, Ohio, United States",onsite,fulltime,"['Python', 'SAS']",134500.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/financial-crimes-senior-data-scientist-keybank-united-states-2/,94000.0,175000.0
"Research Scientist – Computer Graphics, Vision and Machine Learning",Eyeline,"Los Angeles, California, United States",onsite,fulltime,['Python'],210000.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/research-scientist-eyeline-united-states-2/,100000.0,320000.0
Emerging Talent – Computer Vision Engineering Intern 2026 Opportunities (Florence),Baker Hughes,"Florence, Tuscany, Italy",onsite,fulltime,['Python'],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/emerging-talent-computer-vision-intern-baker-hughes-italy-2/,,
Senior / Staff Machine Learning Engineer,Shiftsmart,"New York, New York, United States",onsite,fulltime,"['GCP', 'MongoDB', 'Python', 'SQL', 'Scikit-Learn']",,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-machine-learning-engineer-shiftsmart-united-states-2/,,
Principal Machine Learning Scientist (US Remote),Turnitin,"Remote, , United States",remote,fulltime,"['AWS Batch', 'AWS EC2', 'AWS Lambda', 'AWS SageMaker', 'Docker']",196150.0,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/principal-machine-learning-scientist-turnitin-united-states-16/,147300.0,245000.0
Data Scientist (H/F) - CDI,Unibail-Rodamco-Westfield,"Paris, Île-de-France, France",onsite,fulltime,"['BigQuery', 'GCP', 'Power BI', 'Python', 'SQL']",,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-unibail-rodamco-westfield-france-2/,,
Senior Data Scientist,GE HealthCare,"Bengaluru, Karnataka, India",onsite,fulltime,"['AWS', 'Azure', 'Keras', 'PyTorch', 'Python']",,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-ge-healthcare-india-2/,,
Data Scientist,Kyndryl,"Gurgaon, Haryana, India",onsite,fulltime,"['AWS', 'Azure', 'C/C++', 'GCP', 'MLOps']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-kyndryl-india-4/,,
Senior Machine Learning Engineer,Razer Inc.,"Chengdu, , China",onsite,fulltime,"['PyTorch', 'Python', 'R', 'TensorFlow']",,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-machine-learning-eng-razer-inc-china-2/,,
"Senior Machine Learning Engineer, Ads Research",The Walt Disney Company,"Seattle, Washington, United States",onsite,fulltime,"['Java', 'PyTorch', 'Python', 'SQL', 'TensorFlow']",170650.0,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-machine-learning-engineer-disney-united-states-8/,141900.0,199400.0
Machine Learning Signal Processing Engineer,Leidos,"Ann Arbor, Michigan, United States",onsite,fulltime,"['C++', 'MATLAB', 'PyTorch', 'Python', 'Scikit-Learn']",97637.5,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-engineer-leidos-united-states-11/,69550.0,125725.0
Senior Data Scientist,Accelleron,"Mohali, Punjab, India",onsite,fulltime,['Python'],,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-accelleron-india-2/,,
Senior Data Scientist,Moneris,"Toronto, Ontario, Canada",onsite,fulltime,"['Databricks', 'Git', 'Power BI', 'Prophet', 'PySpark']",,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-moneris-canada-2/,116595.0,
Sr. Data Scientist (Content Security),Trend Micro,"Taipei, , Taiwan",onsite,fulltime,"['AWS EMR', 'Airflow', 'Azure Databricks', 'Kubeflow', 'MLflow']",,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/sr-data-scientist-trend-micro-taiwan-2/,,
"Senior AI / Computer Vision Engineer (Robotics, ROS)",Jabil,"Remote, , , Poland",remote,fulltime,"['C++', 'Linux', 'Python', 'ROS']",,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-ai--computer-vision-engineer-jabil-poland-2/,,
Computer Vision Engineer,Prozis,"Maia, , Portugal",onsite,fulltime,"['C++', 'NumPy', 'OpenCV', 'PyTorch', 'Python']",,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/computer-vision-engineer-prozis-portugal-2/,,
Applied AI Engineer (Startups),Anthropic,"London, England, United Kingdom",onsite,fulltime,['Python'],,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/applied-ai-engineer-anthropic-united-kingdom-13/,,
Sr. Data Engineer - AI ML,Assent,"Pune, Maharashtra, India",onsite,fulltime,"['AWS', 'Airflow', 'FAISS', 'Milvus', 'Neo4J']",,2026-03-09 00:00:00+00:00,senior,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/sr-data-engineer-assent-india-2/,,
Senior Machine Learning Engineer,Sky,"Milan, , Italy",onsite,fulltime,"['NumPy', 'Python', 'Scikit-Learn', 'TensorFlow', 'pandas']",,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-machine-learning-engineer-sky-italy-11/,,
Machine Learning Engineering Manager - Evaluations,Canva,"London, England, United Kingdom",onsite,fulltime,"['MLOps', 'Python']",,2026-03-09 00:00:00+00:00,lead,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-engineering-manager-canva-united-kingdom-22/,,
Senior Machine Learning Engineer,Spotify,"New York, New York, United States",onsite,fulltime,"['AWS', 'Apache Beam', 'Apache Spark', 'GCP', 'Hugging Face']",,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-engineer-spotify-united-states-61/,,
Data Scientist,Smiths Group plc,"Bengaluru, Karnataka, India",onsite,fulltime,"['C++', 'PyTorch', 'Python', 'Scikit-Learn', 'TensorFlow']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-smiths-group-plc-india-2/,,
"Data Scientist II, Amazon Private Brands",Amazon,"Vancouver, British Columbia, Canada",onsite,fulltime,"['Python', 'R', 'SQL']",,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-ii-amazon-canada-778/,109100.0,
"Data Scientist (Middle/Senior, Speech)",Київстар,"Kyiv, , Ukraine",onsite,fulltime,"['AWS', 'Azure', 'Docker', 'Git', 'PySpark']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-speech-kyivstar-ukraine-5/,,
Senior Data Engineer - Data Platform and Analytics,Worldly,"Remote, Concord, United States",remote,fulltime,"['AWS', 'DBT', 'Docker', 'Git', 'Glue']",150000.0,2026-03-09 00:00:00+00:00,senior,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-engineer-worldly-united-states-2/,135000.0,165000.0
DataOps Platform Engineer,Paramo Technologies,"Buenos Aires, , Argentina",onsite,fulltime,"['Airflow', 'Ansible', 'ArgoCD', 'Azure', 'ClickHouse']",,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/dataops-platform-engineer-paramo-technologies-argentina-2/,,
Cloud Database Engineer,CyberPuerta,"Remote, , , Mexico",remote,fulltime,"['Bash', 'Docker', 'Git', 'Linux', 'MySQL']",,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/cloud-database-engineer-cyberpuerta-mexico-2/,,
"Research Scientist I, Last Mile",Amazon,"Bengaluru, Karnataka, India",onsite,fulltime,"['R', 'SQL']",,2026-03-09 00:00:00+00:00,entry-level,Bachelors in a relevant field,datasciencejobs,https://datasciencejobs.com/jobs/research-scientist-i-amazon-india-777/,,
