title,company,location,work_mode,job_type,skills,salary_avg,date_posted,experience_level,education,source,job_url,salary_min,salary_max,role,country
Data Scientist,"Comscore, Inc.","Pune, Maharashtra, India",onsite,fulltime,Linux,,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-comscore-inc-india-2/,,,Data Scientist,India
Data Scientist,"Comscore, Inc.","Pune, Maharashtra, India",onsite,fulltime,Python,,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-comscore-inc-india-2/,,,Data Scientist,India
Data Scientist,"Comscore, Inc.","Pune, Maharashtra, India",onsite,fulltime,R,,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-comscore-inc-india-2/,,,Data Scientist,India
Data Scientist,"Comscore, Inc.","Pune, Maharashtra, India",onsite,fulltime,SQL,,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-comscore-inc-india-2/,,,Data Scientist,India
Data Scientist,"Comscore, Inc.","Pune, Maharashtra, India",onsite,fulltime,Spark,,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-comscore-inc-india-2/,,,Data Scientist,India
"Senior Data Scientist, Agentic AI (Insurance Underwriting)",Guardian Life,"New York, New York, United States",onsite,fulltime,Git,157222.5,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-guardian-life-united-states-2/,118980.0,195465.0,Data Scientist,United States
"Senior Data Scientist, Agentic AI (Insurance Underwriting)",Guardian Life,"New York, New York, United States",onsite,fulltime,PyTorch,157222.5,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-guardian-life-united-states-2/,118980.0,195465.0,Data Scientist,United States
"Senior Data Scientist, Agentic AI (Insurance Underwriting)",Guardian Life,"New York, New York, United States",onsite,fulltime,Python,157222.5,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-guardian-life-united-states-2/,118980.0,195465.0,Data Scientist,United States
"Senior Data Scientist, Agentic AI (Insurance Underwriting)",Guardian Life,"New York, New York, United States",onsite,fulltime,TensorFlow,157222.5,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-guardian-life-united-states-2/,118980.0,195465.0,Data Scientist,United States
Financial Crimes - Senior Data Scientist,KeyBank,"Cleveland, Ohio, United States",onsite,fulltime,Python,134500.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/financial-crimes-senior-data-scientist-keybank-united-states-2/,94000.0,175000.0,Data Scientist,United States
